Name,Rating
Demon Slayer,10.0
O Tio de Outro Mundo,10.0
My Daemon,9.5
Parasyte,9.5
Psycho-Pass,9.5
PLUTO,9.5
Mob Psycho 100,9.0
DAN DA DAN,9.0
"Boa Noite, Mundo",9.0
Mashle,9.0
VINLAND SAGA,8.5
SPY x FAMILY,8.5
Lookism,8.5
Kotaro Vai Morar Sozinho,8.0
Romantic Killer,8.0
O Som da Magia,10.0
Uma Família Inusitada,9.5
Sr. Rainha,9.5
Mask Girl,9.0
Pousando no Amor,9.0
Um Homem Sem Filtros,9.0
O Gambito da Rainha,8.5
Honra Teu Nome,8.5
Intensivão de Amor,8.0
Diva à Deriva,8.0
Maid,8.0
Sorriso Real,8.0
Miss Night and Day,8.0
Vejo Você na Próxima Vida,8.0
Um Conto de Fadas Perfeito,8.0
The 8 Show,8.0
Hometown Cha-Cha-Cha,8.0
"Holo, Meu Amor",7.5
Celebrity,7.5
As Três Irmãs,7.5
Behind Your Touch,7.5
Clima do Amor,7.5
Anomalia,7.5
Maniac,7.5
Nosso Eterno Verão,7.5
Meu Diário para a Liberdade,7.5
Por Trás de Seus Olhos,7.0
Red Rose,7.0
Trinta e Nove,7.0
JUNG_E,10.0
Milagre na Cela 7,10.0
Mogli - Entre Dois Mundos,9.5
Gato de Botas 2,9.5
Live is Life,9.0
Kill Boksoon,9.0
Meu Nome é Loh Kiwan,9.0
O Poço,9.0
Tumba Aberta,9.0
Velha é a Vovozinha,9.0
100 Coisas para Fazer Antes de Virar Zumbi,8.5
37 Segundos,8.5
Em uma Terra Muito Distante… Havia um Crime,8.5
O Jeremias,8.5
O Menino e a Garça,8.5
Suzume,8.5
Você nem imagina,8.0
ARQ,8.0
Além da Morte,8.0
Não Se Mexa,8.0
Feios,7.0
A Caminho do Céu,10.0
A Lição,10.0
Messiah,10.0
Loucos Um Pelo Outro,10.0
Que Chegue a Você,10.0
Romance Is a Bonus Book,10.0
O Problema dos 3 Corpos,10.0
Treta,10.0
Uma Advogada Extraordinária,10.0
Uma Dose Diária de Sol,10.0
Tudo Bem Não Ser Normal,10.0
Wandinha,10.0
Garota de Fora,9.5
Modern Family,9.5
Love,9.5
Avatar,9.5
Crônicas de Arthdal,9.5
Stranger Things,9.5
A Melhor Pior Funcionária,9.0
Community,9.0
Resident Alien,9.0
Sandman,9.0
Imperfeitos,9.0
Modern Family,9.0
Olá? Sou Eu!,8.5
Ragnarok,8.5
Round 6,8.5
Ninguém Tá Olhando,8.5
Jane The Virgin,8.5
The Good Place,8.5
The Umbrella Academy,8.5
Professora Sem Querer,8.5
O Mordomo da Minha Vida,8.5
Merlí,8.5
Juvenile Justice,8.5
Boneca Russa,8.0
Alquimia das Almas,8.0
Daybreak,8.0
Arquivo 81,8.0
Love to Hate You,8.0
Memórias de Alhambra,8.0
Profecia do Inferno,8.0
The End of the F***ing World,8.0
The Witcher,8.0
Sex Education,8.0
Jinn,7.5
Beleza Verdadeira,7.5
Cidade dos Mortos,7.5
Community,7.5
Você é Minha Primavera,7.5
Limitless,7.5
Itaewon Class,7.5
Doona!,7.5
Minha Bebezinha,7.5
The Rain,7.5
Paranormal,7.5
Feliz!,7.0
